County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another,NumeJudet,Regiune
bz,95.20615175634876,0.013258095579239218,4.738955075989821,0.0009303926722273136,0.003954168856966082,0.010234319394500448,0.002325981680568284,0.0,0.0,0.0,0.0,0.0,0.0,0.00581495420142071,0.0,0.0,0.0,0.007443141377818509,0.0,0.0,0.0006977945041704852,0.010234319394500448,Buzau,Sud-Est
cj,80.10682242501976,15.930320897886622,3.4641162159086365,0.024145005367265524,0.10165508629148097,0.012456977291391768,0.007843281998283705,0.0013841085879324185,0.0030757968620720414,0.0072281226258692965,0.002460637489657633,0.0,0.011380448389666554,0.020607838975882677,0.027682171758648372,0.0010765289017252145,0.0033833765482792454,0.0016916882741396227,0.009688760115526931,0.001999267960346827,0.0006151593724144082,0.2603662043743983,Cluj,Nord-Vest
cl,91.64581477868725,0.01873135699845908,8.106083096540708,0.0010602654904788159,0.003180796471436448,0.17741775874012186,0.004947905622234475,0.0010602654904788159,0.0,0.0,0.0024739528111172374,0.0,0.0014136873206384213,0.003180796471436448,0.0010602654904788159,0.0,0.0,0.0014136873206384213,0.00600817111271329,0.0,0.009188967584149738,0.016964247847661054,Calarasi,Sud
cs,89.80109484348597,1.0698100774194974,2.677102162076595,0.9030433998313926,1.0561889580579966,0.005153937055703015,0.006626490500189591,0.0,1.8432687741360712,0.0670011817241392,0.006258352139067947,1.870511012859073,0.0022088301667298636,0.009203459028041098,0.00846718230579781,0.5691419062940616,0.001472553444486576,0.0011044150833649318,0.0,0.001472553444486576,0.0,0.10086991094733044,Caras-Severin,Vest
ct,91.21920424487969,0.0674450011587115,1.3668001182684855,0.011667026266791327,0.021416185202055314,3.3263810642565463,0.5667297964663295,3.1313978855512667,0.0020776896091546197,0.0006392891105091138,0.003356267830172848,0.0006392891105091138,0.039955569406819616,0.007671469326109365,0.004954490606445632,0.0,0.0031964455525455696,0.0012785782210182276,0.04059485851732873,0.004954490606445632,0.07895220514787556,0.10068803490518544,Constanta,Sud-Est
cv,22.069983136593592,73.7617161457312,4.0511392603631515,0.005882583630730617,0.04755088434840582,0.0024510765128044234,0.0024510765128044234,0.0,0.0,0.0,0.0014706459076826543,0.0,0.0,0.004411937723047962,0.005392368328169732,0.0,0.001960861210243539,0.0,0.0014706459076826543,0.037746578297188124,0.0,0.006372798933291501,Covasna,Centru
db,94.03998943856364,0.025403454869862303,5.4699439123720826,0.002400326444396438,0.005400734499891985,0.009001224166486643,0.002200299240696735,0.0,0.09141243209076434,0.0,0.3162430090492307,0.0,0.006000816110991095,0.007401006536889017,0.0,0.0,0.0,0.0,0.0,0.0010001360184985159,0.0,0.023603210036564973,Dambovita,Sud
dj,95.06853956467747,0.027968809183998005,4.767802946154449,0.0020776829679541374,0.008950018938879362,0.00607322713709671,0.0011187523673599202,0.0,0.014543780775678961,0.0004794653002971086,0.009908949539473579,0.0,0.013904493708616152,0.007511623037988035,0.009589306005942173,0.0,0.0006392870670628116,0.0,0.0,0.0020776829679541374,0.021256294979838483,0.03755811518994018,Dolj,Sud-Vest
gj,97.89026197511403,0.032864806964904646,2.035792209214927,0.005477467827484108,0.005173164059290546,0.0018258226091613693,0.001217215072774246,0.0,0.0036516452183227386,0.0009129113045806846,0.0,0.0,0.001217215072774246,0.006694682900258354,0.0,0.002738733913742054,0.0,0.0009129113045806846,0.0,0.0,0.0,0.011259239423161777,Gorj,Sud-Vest
gl,96.36495333723104,0.024144515902456153,3.3892115917621304,0.008580282510790203,0.010974779955661889,0.01496560903044803,0.034919754404378736,0.0005986243612179212,0.0013967901761751495,0.0,0.0009977072686965353,0.0,0.030330300968374673,0.009777531233226047,0.011174321409401196,0.0,0.0005986243612179212,0.0007981658149572283,0.005786702158439905,0.0,0.0011972487224358424,0.08959411272894888,Galati,Sud-Est
gr,94.16874578173463,0.014029287084714145,5.770207860950807,0.0,0.0034125292908764133,0.016683476533173577,0.002275019527250942,0.0,0.0,0.0,0.0015166796848339616,0.0,0.001137509763625471,0.001137509763625471,0.0,0.0,0.0,0.0030333593696679232,0.001137509763625471,0.0,0.0,0.016683476533173577,Giurgiu,Sud
hd,93.61151803698957,4.040519644346782,1.900343852367291,0.024669881381106432,0.24288388370058392,0.006612545524832651,0.003814930110480376,0.0,0.006866874198864677,0.013988077071761378,0.0030519440883843008,0.0,0.010173146961281004,0.02568719607723453,0.010681804309345053,0.003814930110480376,0.012462105027569228,0.01500539176788948,0.0,0.0033062727624163257,0.0010173146961281,0.06358216850800626,Hunedoara,Vest
hr,12.962399449618967,85.23860870025402,1.7602931837425908,0.0026460626587637595,0.017860922946655377,0.0013230313293818797,0.0,0.0,0.0009922734970364098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009922734970364098,0.007276672311600338,0.0,0.0076074301439458085,Harghita,Centru
if,94.79546172913443,0.06460270721387655,4.334758474599768,0.007763415459178297,0.025508365080157264,0.1450095101839375,0.020517597999256933,0.005545296756555927,0.0008317945134833891,0.0,0.010258798999628466,0.0,0.029112807971918616,0.02384477605319049,0.030221867323229804,0.0,0.0036044428917613525,0.18604470618245134,0.014695036404873208,0.005822561594383723,0.016358625431839986,0.2800374862060743,Ilfov,Bucuresti-Ilfov
il,94.22964493120786,0.006625872081693105,5.561445219628172,0.005846357719140975,0.001169271543828195,0.022216159332735703,0.13875355653427915,0.0,0.001948785906380325,0.0,0.0,0.0,0.00233854308765639,0.00545660053786491,0.0,0.0,0.001169271543828195,0.0,0.00389757181276065,0.0,0.010523443894453754,0.008964415169349494,Ialomita,Sud
is,97.74284181828793,0.016396495040755018,1.5668379498267253,0.00708662073795344,0.011533127867649717,0.009309874302801578,0.39434960106493844,0.0009726734346210603,0.0005558133912120344,0.0,0.000694766739015043,0.0,0.02626218273476863,0.010977314476437681,0.02987496977764685,0.0,0.0023622069126511464,0.0012505801302270777,0.0016674401736361036,0.0004168600434090259,0.0009726734346210603,0.1756370316230029,Iasi,Nord-Est
mh,94.87971228668806,0.05767081976667347,4.372169023560933,0.002402950823611395,0.05767081976667347,0.015619180353474066,0.002402950823611395,0.0,0.39368344326833354,0.0,0.0016019672157409298,0.0,0.00800983607870465,0.0032039344314818597,0.003604426235417092,0.18542770522201263,0.0,0.006407868862963719,0.0,0.0012014754118056974,0.0,0.009211311490510346,Mehedinti,Sud-Vest
mm,82.95998298656647,7.223398787792862,2.7017686881933862,6.815563747208733,0.22994718746677062,0.004209052564420657,0.002658348988055152,0.0,0.000664587247013788,0.0015507035763655053,0.000664587247013788,0.0,0.0008861163293517174,0.009082692375855102,0.00952575054053096,0.0,0.0015507035763655053,0.0,0.0008861163293517174,0.001329174494027576,0.0,0.03633076950342041,Maramures,Nord-Vest
ms,52.61778068652837,38.102609338986426,8.90589875650912,0.004363125895152187,0.27392842576520693,0.00910565404205674,0.007208642783294919,0.0005691033776285462,0.0005691033776285462,0.0009485056293809103,0.002276413510514185,0.0,0.0007588045035047283,0.008536550664428193,0.01384818218896129,0.0007588045035047283,0.0017073101328856388,0.0005691033776285462,0.002655815762266549,0.0015176090070094567,0.0,0.04439006345502661,Mures,Centru
nt,98.4450995006502,0.016339101259901383,1.429559448588906,0.003581172878882495,0.014100868210599823,0.007833815672555458,0.04409319107124072,0.0,0.0,0.0008952932197206238,0.0,0.0,0.005147936013393586,0.011191165246507796,0.007609992367625301,0.0,0.0,0.0,0.0015667631345110916,0.0008952932197206238,0.0,0.01208645846622842,Neamt,Nord-Est
ot,97.64674872050199,0.012447190961874986,2.3183503322911863,0.0,0.0019525005430392134,0.006101564196997542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00292875081455882,0.0,0.0,0.000732187703639705,0.0,0.0,0.0,0.000732187703639705,0.01000656528307597,Olt,Sud-Vest
ph,97.42633090890206,0.05657917394406042,2.426754569383287,0.0008199880281747886,0.01776640727712042,0.01803973661984535,0.005329922183136126,0.0005466586854498591,0.001776640727712042,0.0,0.0015033113849871125,0.0004099940140873943,0.008609874295835282,0.006833233568123239,0.003826610798149014,0.0,0.0009566526995372535,0.0,0.0012299820422621828,0.004646598826323803,0.0,0.01803973661984535,Prahova,Sud
sb,90.95024812795718,2.9237990580004136,4.821769701789692,0.005642324960302213,1.1389435955581468,0.00510496067836867,0.015314882035106009,0.0008060464229003162,0.003492867832568037,0.0008060464229003162,0.0,0.0,0.006985735665136074,0.014508835612205692,0.007254417806102846,0.0,0.006985735665136074,0.0008060464229003162,0.004030232114501582,0.0013434107048338605,0.0,0.09215797435160282,Sibiu,Centru
sj,69.07697821968375,23.351813319554804,6.983759024703599,0.010240798409883302,0.021412578493392356,0.0,0.0023274541840643866,0.0,0.0,0.5152983563518552,0.0,0.0,0.0,0.01396472510438632,0.0,0.0,0.0,0.0,0.0,0.005120399204941651,0.0,0.01908512430932797,Salaj,Nord-Vest
sm,57.93770053640602,34.66623967680152,5.353590717897239,0.4070773570148482,1.5343921860854677,0.0027713284516895868,0.0012317015340842607,0.0,0.0024634030681685215,0.036027269871964626,0.0,0.0,0.0,0.008006059971547694,0.009545686889153021,0.006158507670421304,0.0012317015340842607,0.0024634030681685215,0.0,0.00892983612211089,0.0,0.022170627613516694,Satu Mare,Nord-Vest
sv,96.22938378703722,0.026168933550535484,1.990638064022296,0.9620354196515607,0.11432552844890188,0.004416007536652863,0.2801711448254205,0.0,0.002126225850981008,0.0,0.0,0.0,0.0031075608591260885,0.004906675040725403,0.010304017585523345,0.0,0.3120645325901356,0.0004906675040725403,0.003598228363198629,0.0,0.0,0.05626320713365129,Suceava,Nord-Est
tl,90.8530815229428,0.02818773028368937,1.7204582519580407,0.5375802846960759,0.009060341876900154,0.8365715666337811,5.1996295326877,0.058892222199851005,0.0015100569794833593,0.0020134093059778124,0.007550284897416795,0.0,0.5919423359574768,0.025670968651217103,0.0030201139589667186,0.0,0.0020134093059778124,0.0,0.027684377957194917,0.007550284897416795,0.026677673304206014,0.060905631505828825,Tulcea,Sud-Est
tm,86.90883215605963,5.568081235829721,2.290910984223954,0.936401975989612,1.3387313843760502,0.017197610005537947,0.013726532756713775,0.0022088673401608368,1.5891222750071394,0.2191511953916716,0.700842051785317,0.03534187744257339,0.010413231746472518,0.047332871574875084,0.033133010102412555,0.026821960559095876,0.009151021837809182,0.003628853487407089,0.0041021822031558405,0.02224644964019129,0.006311049543316678,0.21631122309717912,Timis,Vest
tr,97.67107662945584,0.0008469838903664052,2.313959988481019,0.0,0.0,0.0050819033421984315,0.0,0.0,0.0,0.0,0.0008469838903664052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001411639817277342,0.0,0.006775871122931242,Teleorman,Sud
vl,97.94979244464722,0.04956545738215531,1.9527663720901416,0.001126487667776257,0.012954608179426957,0.009856767093042248,0.001126487667776257,0.0,0.001126487667776257,0.0,0.0008448657508321927,0.0,0.00197135341860845,0.005069194504993157,0.0014081095847203213,0.0,0.0,0.0,0.0008448657508321927,0.0,0.0,0.011546498594706635,Valcea,Sud-Vest
vn,96.20351884202645,0.014349887696531071,3.7312827551784373,0.0012478163214374844,0.0012478163214374844,0.0071749438482655355,0.0009358622410781132,0.0,0.0,0.0,0.0,0.0,0.0009358622410781132,0.0037434489643124527,0.0021836785625155976,0.0,0.0,0.0,0.0024956326428749688,0.0,0.0,0.03088345395557774,Vrancea,Sud-Est
vs,98.35441910913609,0.009443405669820763,1.5918883843412144,0.0,0.001888681133964153,0.002428304315096768,0.020505680883039373,0.0,0.0,0.0,0.0,0.0,0.005126420220759843,0.001888681133964153,0.0032377390867956903,0.0,0.0,0.0010792463622652303,0.0,0.0,0.0,0.008094347716989227,Vaslui,Nord-Est
